Y;X;osm_id;code;fclass;name;ref;oneway;maxspeed;layer;bridge;tunnel;xAtZero;yAtZero;xAtOne;yAtOne;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;xkord;ykord
60.1799395;24.8010857;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;73.6634216759;24.8010857;60.1799395
60.1799893;24.8012556;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0001770482;73.6634216759;24.8012556;60.1799893
60.1799893;24.8012556;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;79.5667122107;24.8012556;60.1799893
60.1800406;24.8015342;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0002832837;79.5667122107;24.8015342;60.1800406
60.1800406;24.8015342;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;80.1266781162;24.8015342;60.1800406
60.1800854;24.8017916;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0002612696;80.1266781162;24.8017916;60.1800854
60.1800854;24.8017916;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;87.1087304037;24.8017916;60.1800854
60.1800994;24.8020688;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0002775533;87.1087304037;24.8020688;60.1800994
60.1800994;24.8020688;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;92.7416471245;24.8020688;60.1800994
60.1800892;24.8022818;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0002132441;92.7416471245;24.8022818;60.1800892
60.1800892;24.8022818;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;96.9351701913;24.8022818;60.1800892
60.1800666;24.8024676;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0001871694;96.9351701913;24.8024676;60.1800666
60.1800666;24.8024676;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;102.7797906529;24.8024676;60.1800666
60.1800184;24.8026801;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0002178979;102.7797906529;24.8026801;60.1800184
60.1800184;24.8026801;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;109.0078875219;24.8026801;60.1800184
60.1799566;24.8028595;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0001897461;109.0078875219;24.8028595;60.1799566
60.1799566;24.8028595;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;117.631140011;24.8028595;60.1799566
60.1798886;24.8029894;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.000146622;117.631140011;24.8029894;60.1798886
60.1763599;24.8027845;22946758;5152;cycleway;Tuulikannel;;B;0;0;F;F;24.8027845;60.1763599;24.801234;60.1761428;0;0;0;0;0;262.3170354812;24.8027845;60.1763599
